inf,tb,ds,cpi,ce,co,rr,gp
0.34,7.591,351.5,216.687,46.125,72.89,4.7,34819232.56
0.02,7.864,350.8,216.741,46.105,79.66,4.7,35954153.07
0.41,7.85,349,217.631,44.825,83.76,5,35793399.46
0.17,8.061,351.25,218.009,44.275,86.15,5.25,37941067.73
0.08,7.564,352.36,218.178,46.365,73.97,5.25,38973105.92
0.1,7.561,348.2,217.965,46.445,75.63,5.25,40043724.98
0.02,7.803,351.78,218.011,46.405,78.95,5.625,37992508.88
0.14,7.936,354.4,218.312,47.065,71.92,5.625,40133747.01
0.06,7.852,348.3,218.439,44.57,79.97,6,42046715
0.12,8.121,347.12,218.711,44.325,81.43,6,43631745.62
0.04,8.066,351.57,218.803,45.8,84.11,6.25,44528750.78
0.17,7.913,354.12,219.179,44.713,91.38,6.25,45689391.87
0.48,8.148,393.25,220.223,45.825,92.19,6.5,42882633.79
0.49,7.992,369.45,221.309,45.265,96.97,6.5,45310013.34
0.98,7.985,397.35,223.467,44.535,106.72,6.75,46261674.73
0.64,8.135,357.36,224.906,44.255,113.93,6.75,50026524.35
0.47,8.411,358.64,225.964,45.06,102.7,7.25,49380294.82
0.11,8.326,365.75,225.722,44.7,95.42,7.5,48300030.54
0.09,8.454,365.67,225.922,44.21,95.7,8,52351021.59
0.28,8.319,348.25,226.585,45.8,88.81,8,58787596.25
0.15,8.442,357.25,226.889,49.02,79.2,8.25,52097030.88
0.21,8.879,356.96,226.421,48.695,93.19,8.5,55434275.89
0.08,8.738,357.25,226.23,52.13,100.36,8.5,56119086.28
0.25,8.572,397.14,225.672,53.015,98.83,8.5,50341601.43
0.44,8.269,401.35,226.665,49.515,98.48,8.5,55871525.71
0.44,8.203,391.87,227.663,49.11,107.07,8.5,54974520.55
0.76,8.588,356.25,229.392,50.875,103.02,8.5,53669201.22
0.3,8.675,369.25,230.085,52.665,104.87,8,53479511.95
0.12,8.377,348.57,229.815,56.04,86.53,8,50238719.12
0.15,8.39,397.25,229.478,55.51,84.96,8,51553683.67
0.16,8.247,397.37,229.104,55.56,88.06,8,51778738.73
0.56,8.241,412.24,230.379,55.525,96.47,8,54161107.27
0.45,8.152,402.36,231.407,55.855,92.19,8,56942144.77
0.04,8.17,412.75,231.317,53.805,86.24,8,55218866.04
0.47,8.177,412.85,230.221,54.265,88.91,8,55006671.27
0.27,8.049,410.3,229.601,54.995,91.82,8,53846030.19
0.3,7.912,356.98,230.28,53.275,97.49,7.75,53389489.93
0.82,7.873,402.36,232.116,54.37,92.05,7.75,50724195.03
0.26,7.96,356.79,232.773,54.285,97.23,7.5,51273972.38
0.1,7.731,372.6,232.531,53.685,93.46,7.5,47332293.79
0.18,7.449,375.36,232.945,56.58,91.97,7.25,44773096.28
0.24,7.449,379.25,233.504,59.533,96.56,7.25,39346054.3
0.04,8.17,378.36,233.596,60.855,105.03,7.25,42194608.32
0.12,8.602,389.2,233.877,65.705,107.65,7.25,44885623.8
0.12,8.761,387.36,234.149,62.59,102.33,7.5,42647933.51
0.26,8.63,378.96,233.546,61.624,96.38,7.75,42554696.42
0.2,9.06,378.36,233.069,62.399,92.72,7.75,40207693.67
0.01,8.825,401.25,233.049,61.81,98.42,7.75,38641953.48
0.37,8.788,356.75,233.916,62.685,97.49,8,39870111.08
0.37,8.861,369.25,234.781,61.795,102.59,8,42483964.83
0.64,8.81,369.47,236.293,60.015,101.58,8,41654476.18
0.33,8.83,358.36,237.072,60.345,99.74,8,40046940.05
3,8.646,367.25,237.9,59.195,102.71,8,42496825.12
0.19,8.747,314.52,238.343,60.06,105.37,8,41194720.85
0.04,8.722,387.36,238.25,60.555,98.17,8,41339399.1
0.17,8.565,345.36,237.852,60.52,95.96,8,38918449.69
0.08,8.516,357.25,238.031,61.94,91.16,8,37651711.22
0.25,8.277,389.45,237.433,61.405,80.54,8,37783529.18
0.54,8.087,398.35,236.151,62.21,66.15,8,38063240.47
0.57,7.857,389.25,234.812,63.035,53.27,8,41104698.83
0.47,7.693,353.83,233.707,62.02,48.24,7.75,38985966.21
0.43,7.728,358.36,234.722,61.659,49.76,7.7,38037519.89
0.6,7.736,353.65,236.119,62.291,47.6,7.5,38015014.39
0.2,7.86,353.45,236.599,63.529,59.63,7.5,38240069.45
0.51,7.816,353.14,237.805,63.745,60.3,7.5,37664571.51
0.35,7.86,359.25,238.638,63.604,59.47,7.25,35201826.16
0.01,7.808,325.25,238.654,63.988,47.12,7.25,36381757.68
0.14,7.787,356.65,238.316,66.412,49.2,7.25,35864131.05
0.16,7.541,365.4,237.945,65.517,45.09,6.75,36700049.83
0.04,7.641,365.35,237.833,65.423,46.59,6.75,34266240.13
0.21,7.786,369.25,237.336,66.462,41.65,6.75,34089411.16
0.34,7.758,378.25,236.525,66.208,37.04,6.75,35893066.7
0.17,7.783,412.21,236.916,67.878,33.62,6.75,39670776.6
0.08,7.626,402.36,237.111,68.208,33.75,6.75,39680421.82
0.43,7.463,402.86,238.132,66.255,38.34,6.75,41448711.56
0.47,7.437,401.78,239.261,66.425,45.92,6.5,39056697.8
0.41,7.471,412.36,240.236,67.209,49.1,6.5,44413008.18
0.33,7.45,403.56,241.038,67.504,48.33,6.5,43371324.77
0.16,7.164,359.58,240.647,66.655,41.6,6.5,42017779.35
0.09,7.11,359.23,240.853,66.973,44.7,6.5,42223543.97
0.24,6.962,358.47,241.428,66.556,48.24,6.5,40879643.77
0.12,6.886,359.25,241.729,66.686,46.86,6.25,37642066.01
0.16,6.246,357.36,241.353,68.598,49.44,6.25,36973330.98
0.03,6.516,357.89,241.432,67.955,53.72,6.25,39047052.58
0.58,6.409,402.56,242.839,67.515,52.81,6.25,40516340.6
0.31,6.871,401.25,243.1063,66.725,54.01,6.25,40333081.49
0.08,6.694,401.37,243.801,64.86,50.6,6.25,40886073.91
0.3,6.964,400.68,244.524,64.29,59.33,6.25,40886073.91
